Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
All the add-ons,10054,No category,8.000,7.30,0.000,0.00,0.00,7.30,0.00,7.30,100.00%,0.00
Americana,10041,No category,24.000,249.40,0.000,0.00,0.00,249.40,0.00,249.40,100.00%,0.00
Americano,10058,No category,379.000,1180.00,1.000,3.00,6.00,1171.00,0.00,1171.00,100.00%,0.00
Americano,10242,Hot Drinks - Coffee,72.000,216.50,0.000,0.00,9.00,207.50,32.40,175.10,84.39%,0.00
Aperol Zero,10157,No category,12.000,54.00,1.000,4.50,0.00,49.50,0.00,49.50,100.00%,0.00
Appetizer,10088,No category,2.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
Appetizer,10088,Drinks fridge,1.000,2.00,0.000,0.00,0.00,2.00,0.60,1.40,70.00%,0.00
Apple and cinnamon toasties,10238,Bakes and Sweets,1.000,4.50,0.000,0.00,0.00,4.50,1.44,3.06,68.00%,0.00
Apple crumble,10201,No category,17.000,67.00,0.000,0.00,0.00,67.00,0.00,67.00,100.00%,0.00
Apple crumble,10002,No category,14.000,58.70,0.000,0.00,0.00,58.70,0.00,58.70,100.00%,0.00
Aprol,10143,No category,4.000,17.00,0.000,0.00,0.00,17.00,0.00,17.00,100.00%,0.00
Bacon bap,10011,No category,266.000,1541.00,3.000,22.00,9.13,1509.87,0.00,1509.87,100.00%,0.00
Bacon Bap,10222,Hot Baps,64.000,407.50,0.000,0.00,0.00,407.50,96.00,311.50,76.44%,0.00
Bacon sausage bap,10014,No category,13.000,91.50,0.000,0.00,8.20,83.30,0.00,83.30,100.00%,0.00
Bacon/Sausage,10293,Add-ons,7.000,7.00,0.000,0.00,0.00,7.00,2.10,4.90,70.00%,0.00
Baileys coffee,10190,No category,3.000,18.00,0.000,0.00,0.00,18.00,0.00,18.00,100.00%,0.00
Bannoffee,10277,Penkey Milkshakes,1.000,5.25,0.000,0.00,0.00,5.25,1.84,3.41,64.95%,0.00
Banoffee milkshake,10150,No category,5.000,27.50,0.000,0.00,0.00,27.50,0.00,27.50,100.00%,0.00
Beer,10192,No category,10.000,35.00,0.000,0.00,0.00,35.00,0.00,35.00,100.00%,0.00
Beer salami,10110,Retail food,2.000,10.00,0.000,0.00,0.00,10.00,0.00,10.00,100.00%,0.00
Berry Matcha latte,10145,No category,4.000,20.00,0.000,0.00,0.75,19.25,0.00,19.25,100.00%,0.00
Bischoff latte,10148,No category,3.000,16.50,0.000,0.00,0.00,16.50,0.00,16.50,100.00%,0.00
Bischoff milkshake,10029,No category,15.000,75.00,0.000,0.00,0.75,74.25,0.00,74.25,100.00%,0.00
Biscoff milkshake,10151,No category,2.000,11.00,1.000,5.50,0.00,5.50,0.00,5.50,100.00%,0.00
Biscuits,10025,Snacks,79.000,81.00,0.000,0.00,0.00,81.00,0.00,81.00,100.00%,0.00
Biscuits,10025,Snacks,12.000,12.00,0.000,0.00,0.00,12.00,3.60,8.40,70.00%,0.00
"BLT with peppered mayo, local microgreens & tomatoes",10217,Sandwiches,6.000,36.00,0.000,0.00,0.00,36.00,9.00,27.00,75.00%,0.00
Bread and butter pickles,10120,Retail food,3.000,17.85,0.000,0.00,0.00,17.85,0.00,17.85,100.00%,0.00
Brownie,10086,No category,300.000,1156.40,0.000,0.00,0.00,1156.40,0.00,1156.40,100.00%,0.00
brownie cake,10236,Bakes and Sweets,56.000,224.00,0.000,0.00,0.00,224.00,71.68,152.32,68.00%,0.00
Brownie m/s,10275,Penkey Milkshakes,8.000,46.40,0.000,0.00,0.00,46.40,16.24,30.16,65.00%,0.00
Brownie small,10182,No category,6.000,13.50,0.000,0.00,0.00,13.50,15.00,-1.50,-11.11%,0.00
Brownie small,10182,No category,2.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
Brownie whole tray bake,10196,No category,1.000,30.00,0.000,0.00,0.00,30.00,0.00,30.00,100.00%,0.00
Build a milkshake,10159,No category,46.000,181.50,0.000,0.00,0.00,181.50,0.00,181.50,100.00%,0.00
Build your own sandwich,10161,No category,12.000,108.40,1.000,8.95,0.00,99.45,0.00,99.45,100.00%,0.00
Butter carrot soup + cheese toastie,10228,Penkey Meals,13.000,103.35,0.000,0.00,0.00,103.35,31.07,72.28,69.94%,0.00
Cake,10060,No category,17.000,51.00,0.000,0.00,0.45,50.55,0.00,50.55,100.00%,0.00
Cake promo,10061,No category,130.000,416.30,1.000,1.50,0.00,414.80,0.00,414.80,100.00%,0.00
Cans,10290,Add-ons,3.000,6.00,0.000,0.00,0.00,6.00,1.80,4.20,70.00%,0.00
Cappuccino (Hot),10022,No category,41.000,144.00,6.000,21.00,0.00,123.00,0.00,123.00,100.00%,0.00
Cappuccino,10001,No category,412.000,1512.70,2.000,7.00,3.50,1502.20,0.00,1502.20,100.00%,0.00
Cappuccino 10oz,10246,Hot Drinks - Coffee,54.000,205.20,0.000,0.00,0.00,205.20,39.24,165.96,80.88%,0.00
Cappuccino 7oz (classico),10245,Hot Drinks - Coffee,7.000,25.20,0.000,0.00,0.00,25.20,4.62,20.58,81.67%,0.00
Cards ewl,10123,Gifts,4.000,12.50,0.000,0.00,0.00,12.50,0.00,12.50,100.00%,0.00
Chai late,10004,No category,32.000,128.50,0.000,0.00,0.00,128.50,0.00,128.50,100.00%,0.00
Chai latte,10036,No category,5.000,17.50,0.000,0.00,0.00,17.50,0.00,17.50,100.00%,0.00
Chai Latte,10262,Penkey Indulgence,9.000,36.00,0.000,0.00,0.00,36.00,10.80,25.20,70.00%,0.00
Charcoal,10077,No category,2.000,12.00,0.000,0.00,0.00,12.00,0.00,12.00,100.00%,0.00
Cheese,10031,Retail food,202.000,1230.21,1.000,1.60,0.00,1228.61,0.00,1228.61,100.00%,0.00
Cheese toastie,10296,Add-ons,2.000,6.00,0.000,0.00,0.00,6.00,1.80,4.20,70.00%,0.00
Chicken Shawarma focaccia,10175,No category,4.000,48.00,0.000,0.00,0.00,48.00,0.00,48.00,100.00%,0.00
Chicken terrine with mayo & microgreens,10216,Sandwiches,3.000,18.50,0.000,0.00,0.00,18.50,4.14,14.36,77.62%,0.00
Chilli and Cheese toastie,10224,Toasties,1.000,7.00,0.000,0.00,0.00,7.00,1.75,5.25,75.00%,0.00
Chocolate milkshake,10021,No category,47.000,192.00,0.000,0.00,1.20,190.80,0.00,190.80,100.00%,0.00
Classic Vanilla,10278,Penkey Milkshakes,11.000,44.00,0.000,0.00,0.00,44.00,15.40,28.60,65.00%,0.00
Clever dripper,10144,No category,44.000,176.00,2.000,8.00,0.00,168.00,0.00,168.00,100.00%,0.00
Clever Dripper filter,10243,Hot Drinks - Coffee,8.000,32.00,0.000,0.00,0.00,32.00,4.80,27.20,85.00%,0.00
Coke 330ml,10007,Drinks fridge,203.000,304.50,1.000,1.50,0.00,303.00,16.65,286.35,94.50%,0.00
Cooler,10098,No category,15.000,46.00,0.000,0.00,0.00,46.00,0.00,46.00,100.00%,0.00
Cortado,10140,No category,38.000,95.00,0.000,0.00,0.00,95.00,0.00,95.00,100.00%,0.00
Cortado,10247,Hot Drinks - Coffee,2.000,6.00,0.000,0.00,0.00,6.00,1.50,4.50,75.00%,0.00
Crimble Crumble,10189,No category,29.000,79.00,0.000,0.00,0.00,79.00,0.00,79.00,100.00%,0.00
Crisps,10000,No category,16.000,23.00,0.000,0.00,0.23,22.77,0.00,22.77,100.00%,0.00
Crisps,10202,No category,7.000,7.00,0.000,0.00,0.00,7.00,0.00,7.00,100.00%,0.00
Crisps,10288,Add-ons,20.000,20.00,0.000,0.00,0.00,20.00,6.00,14.00,70.00%,0.00
Crisps,10202,Snacks,8.000,9.00,0.000,0.00,0.00,9.00,0.00,9.00,100.00%,0.00
Crisps (Salads),10298,Add-ons,1.000,1.50,0.000,0.00,0.00,1.50,0.45,1.05,70.00%,0.00
Croissant,10027,No category,117.000,342.50,1.000,2.50,1.14,338.86,0.00,338.86,100.00%,0.00
Croissant,10027,Snacks,4.000,13.00,0.000,0.00,0.00,13.00,3.60,9.40,72.31%,0.00
Crumble slice,10079,No category,242.000,891.80,0.000,0.00,0.00,891.80,0.00,891.80,100.00%,0.00
Crushed meatball marinara,10173,No category,2.000,22.00,0.000,0.00,0.00,22.00,0.00,22.00,100.00%,0.00
Decaf One Tea - 1 person,10254,Hot Drinks - Tea,9.000,27.00,0.000,0.00,0.00,27.00,4.05,22.95,85.00%,0.00
Deli burger,10167,No category,5.000,64.00,0.000,0.00,0.00,64.00,0.00,64.00,100.00%,0.00
Deliburger - double cheese bacon,10171,No category,3.000,39.00,0.000,0.00,0.00,39.00,0.00,39.00,100.00%,0.00
Deliburger - Korean,10172,No category,2.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
Diet pepsi 330ml,10008,No category,22.000,33.00,3.000,4.50,0.00,28.50,0.00,28.50,100.00%,0.00
Diet pepsi 330ml,10008,Drinks fridge,3.000,4.50,0.000,0.00,0.00,4.50,1.35,3.15,70.00%,0.00
Discount coffee,10138,No category,1.000,2.50,0.000,0.00,0.00,2.50,0.00,2.50,100.00%,0.00
Double Cheese,10225,Toasties,5.000,30.00,0.000,0.00,0.00,30.00,7.50,22.50,75.00%,0.00
Double cheese and ham,10043,No category,2.000,17.50,0.000,0.00,0.00,17.50,0.00,17.50,100.00%,0.00
Dr Pepper 330ml,10026,Drinks fridge,30.000,45.00,0.000,0.00,1.50,43.50,0.90,42.60,97.93%,0.00
Dylan's BBQ,10118,Retail food,2.000,11.00,0.000,0.00,0.00,11.00,0.00,11.00,100.00%,0.00
Dylan's pickled samphire,10116,Retail food,2.000,11.90,0.000,0.00,0.00,11.90,1.79,10.11,84.96%,0.00
Dylan's Red Sauce,10117,Retail food,1.000,4.50,0.000,0.00,0.00,4.50,0.00,4.50,100.00%,0.00
Earl Grey Tea - 1 person,10252,Hot Drinks - Tea,3.000,9.00,0.000,0.00,0.00,9.00,1.35,7.65,85.00%,0.00
Egg Bacon & sausage,10112,No category,16.000,115.50,0.000,0.00,0.00,115.50,22.00,93.50,80.95%,0.00
Egg bap,10203,No category,2.000,10.00,0.000,0.00,0.00,10.00,0.00,10.00,100.00%,0.00
Espresso,10003,No category,55.000,139.00,0.000,0.00,0.00,139.00,0.00,139.00,100.00%,0.00
Espresso (Double),10240,Hot Drinks - Coffee,5.000,12.50,0.000,0.00,0.00,12.50,1.90,10.60,84.80%,0.00
Eton Mess,10276,Penkey Milkshakes,4.000,22.40,0.000,0.00,0.00,22.40,7.84,14.56,65.00%,0.00
Eton mess milkshake,10149,No category,3.000,16.50,0.000,0.00,0.00,16.50,0.00,16.50,100.00%,0.00
Filled croissants,10129,No category,43.000,152.00,0.000,0.00,0.00,152.00,0.00,152.00,100.00%,0.00
Flapjack,10109,No category,3.000,10.50,0.000,0.00,0.00,10.50,0.00,10.50,100.00%,0.00
Flat white,10037,No category,353.000,1247.00,1.000,3.50,0.00,1243.50,1232.00,11.50,0.92%,0.00
Flat white,10248,Hot Drinks - Coffee,55.000,192.50,0.000,0.00,0.00,192.50,38.39,154.11,80.06%,0.00
Floater,10130,No category,2.000,7.60,0.000,0.00,0.00,7.60,0.00,7.60,100.00%,0.00
Frappé,10094,No category,29.000,116.75,1.000,4.50,0.00,112.25,0.00,112.25,100.00%,0.00
Friday deal,10183,No category,18.000,150.00,0.000,0.00,0.00,150.00,180.00,-30.00,-20.00%,0.00
Fruit cake,10080,No category,6.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
Fruit shoot,10091,Drinks fridge,18.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
Gift basket,10195,Gifts,5.000,150.00,0.000,0.00,0.00,150.00,0.00,150.00,100.00%,0.00
Gift Indy & sky,10184,Gifts,4.000,65.00,0.000,0.00,0.00,65.00,0.00,65.00,100.00%,0.00
Gifts Claire J,10067,Gifts,2.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
Gifts Clare,10065,Gifts,9.000,260.00,0.000,0.00,0.00,260.00,0.00,260.00,100.00%,0.00
Gifts Jane,10064,Gifts,17.000,490.00,0.000,0.00,0.00,490.00,0.00,490.00,100.00%,0.00
Gifts marcia cards,10134,Gifts,22.000,84.65,0.000,0.00,0.00,84.65,44.00,40.65,48.02%,0.00
Gifts person 3,10066,Gifts,12.000,85.50,0.000,0.00,0.00,85.50,0.00,85.50,100.00%,0.00
Gifts person 5,10068,Gifts,18.000,127.50,1.000,3.00,0.00,124.50,0.00,124.50,100.00%,0.00
Gifts Skillipigs cards,10084,Gifts,12.000,72.95,0.000,0.00,0.00,72.95,0.00,72.95,100.00%,0.00
Gifts what a melt 🫠,10185,Gifts,5.000,22.55,0.000,0.00,0.00,22.55,0.00,22.55,100.00%,0.00
Ginger beer,10142,Retail food,20.000,66.00,0.000,0.00,0.00,66.00,0.00,66.00,100.00%,0.00
Ginger beer,10166,No category,24.000,71.50,0.000,0.00,0.00,71.50,72.00,-0.50,-0.70%,0.00
Ginger beer,10166,Retail food,2.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Ham & Branston Pickle,10213,Sandwiches,23.000,117.00,0.000,0.00,0.00,117.00,28.75,88.25,75.43%,0.00
"Ham & Eggs, Penkey Style",10230,Penkey Meals,1.000,9.00,0.000,0.00,0.00,9.00,2.70,6.30,70.00%,0.00
"Ham, Cheese & Tomato",10226,Toasties,15.000,97.50,0.000,0.00,0.98,96.52,24.45,72.07,74.67%,0.00
"Ham, egg & pineapple",10218,Hot Baps,3.000,25.00,0.000,0.00,0.00,25.00,6.00,19.00,76.00%,0.00
Hampshire hog,10160,No category,20.000,240.00,0.000,0.00,0.00,240.00,0.00,240.00,100.00%,0.00
