Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
20/05/2026 16:50,3-1773,Refund,,10015,Misc,,,-1.000,-1.00,0.00,-1.00,-0.00,-1.00,-0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:48,3-1772,Sale,,10015,Misc,,,1.000,1.00,0.00,1.00,0.00,1.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:14,3-1771,Sale,Bakes and Sweets,10237,Lemon crumble slice,,,1.000,3.80,0.00,3.80,1.22,2.58,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:14,3-1771,Sale,Hot Drinks - Tea,10258,Minty One Tea - 1 person,,,1.000,3.00,0.00,3.00,0.45,2.55,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:10,3-1770,Sale,Snacks,10205,Turnover bacon and cheese,,,1.000,4.00,0.00,4.00,1.20,2.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:10,3-1770,Sale,Add-ons,10288,Crisps,,,3.000,3.00,0.00,3.00,0.90,2.10,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:10,3-1770,Sale,Drinks fridge,10007,Coke 330ml,,,1.000,1.50,0.00,1.50,0.45,1.05,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:00,3-1769,Sale,Bakes and Sweets,10237,Lemon crumble slice,,,1.000,3.80,0.00,3.80,1.22,2.58,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 16:00,3-1769,Sale,Hot Drinks - Coffee,10246,Cappuccino 10oz,,,1.000,3.80,0.00,3.80,0.75,3.05,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 15:46,3-1768,Sale,Hot Drinks - Coffee,10246,Cappuccino 10oz,,,1.000,3.80,0.00,3.80,0.75,3.05,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 14:32,3-1767,Sale,Drinks fridge,10007,Coke 330ml,,,1.000,1.50,0.00,1.50,0.45,1.05,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 14:32,3-1767,Sale,Toasties,10226,"Ham, Cheese & Tomato",,,1.000,6.50,0.00,6.50,1.63,4.87,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 14:24,3-1766,Sale,Toasties,10225,Double Cheese,,,1.000,6.00,0.00,6.00,1.50,4.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 14:24,3-1766,Sale,Retail food,10142,Ginger beer,,,1.000,3.00,0.00,3.00,0.00,3.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 13:43,3-1765,Sale,Retail food,10032,Local Chutney,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 13:43,3-1765,Sale,Hot Drinks - Coffee,10246,Cappuccino 10oz,,,2.000,7.60,0.00,7.60,1.50,6.10,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 12:16,3-1764,Sale,Hot Baps,10222,Bacon Bap,,,2.000,12.00,0.00,12.00,3.00,9.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 12:16,3-1764,Sale,Hot Drinks - Tea,10251,Tea - 2 people,,,1.000,5.00,0.00,5.00,0.75,4.25,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 11:44,3-1763,Sale,Bakes and Sweets,10237,Lemon crumble slice,,,1.000,3.80,0.00,3.80,1.22,2.58,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 11:44,3-1763,Sale,Hot Drinks - Coffee,10246,Cappuccino 10oz,,,1.000,3.80,0.00,3.80,0.75,3.05,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 11:09,3-1762,Sale,Penkey Indulgence,10262,Chai Latte,,,1.000,4.00,0.00,4.00,1.20,2.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 11:09,3-1761,Sale,Hot Drinks - Coffee,10240,Espresso (Double),,,1.000,2.50,0.00,2.50,0.38,2.12,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/05/2026 11:09,3-1761,Sale,Bakes and Sweets,10237,Lemon crumble slice,,,1.000,3.80,0.00,3.80,1.22,2.58,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 16:53,3-1760,Sale,Hot Drinks - Coffee,10240,Espresso (Double),,,1.000,2.50,0.00,2.50,0.38,2.12,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 16:02,3-1759,Sale,Hot Drinks - Coffee,10244,Latte 10oz,,,1.000,3.80,0.00,3.80,0.75,3.05,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 14:32,3-1758,Sale,Hot Baps,10223,Sausage Bap,,,1.000,6.00,0.00,6.00,1.70,4.30,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 14:32,3-1758,Sale,Bakes and Sweets,10236,brownie cake,,,1.000,4.00,0.00,4.00,1.28,2.72,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 14:22,3-1757,Sale,Hot Drinks - Tea,10250,Tea - 1 person,,,3.000,9.00,0.00,9.00,1.35,7.65,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 14:21,3-1756,Sale,Hot Drinks - Tea,10250,Tea - 1 person,,,3.000,9.00,0.00,9.00,1.35,7.65,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 14:21,3-1756,Sale,Bakes and Sweets,10236,brownie cake,,,1.000,4.00,0.00,4.00,1.28,2.72,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 13:28,3-1755,Sale,Hot Baps,10222,Bacon Bap,,,1.000,6.00,0.00,6.00,1.50,4.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/05/2026 13:23,3-1754,Sale,Hot Drinks - Coffee,10242,Americano,,,2.000,6.00,0.00,6.00,0.90,5.10,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
