Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
20/05/2026,93.20,1.00,0.00,92.20,20.54,71.66,77.72%,0.00
19/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
18/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
17/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
16/05/2026,143.64,0.00,0.00,143.64,29.53,114.11,79.44%,0.00
15/05/2026,110.75,0.00,0.00,110.75,27.09,83.66,75.54%,0.00
14/05/2026,57.00,0.00,0.00,57.00,12.66,44.34,77.79%,0.00
13/05/2026,115.00,0.00,0.00,115.00,25.49,89.51,77.83%,0.00
12/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
11/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
10/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
09/05/2026,157.30,0.00,0.00,157.30,37.14,120.16,76.39%,0.00
08/05/2026,114.80,0.00,0.00,114.80,26.94,87.86,76.53%,0.00
07/05/2026,100.00,0.00,0.00,100.00,22.98,77.02,77.02%,0.00
06/05/2026,148.20,0.00,0.00,148.20,29.19,119.01,80.30%,0.00
05/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
04/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
03/05/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
02/05/2026,162.10,0.00,0.00,162.10,37.81,124.29,76.67%,0.00
01/05/2026,170.25,0.00,0.00,170.25,41.45,128.80,75.65%,0.00
30/04/2026,83.90,0.00,0.00,83.90,16.19,67.71,80.70%,0.00
29/04/2026,63.40,0.00,0.00,63.40,14.35,49.05,77.37%,0.00
28/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
27/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
26/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
25/04/2026,192.25,0.00,0.00,192.25,42.77,149.48,77.75%,0.00
24/04/2026,98.30,0.00,0.00,98.30,19.17,79.13,80.50%,0.00
23/04/2026,67.20,0.00,0.00,67.20,15.31,51.89,77.22%,0.00
22/04/2026,126.85,0.00,0.00,126.85,29.35,97.50,76.86%,0.00
21/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
20/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
19/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
18/04/2026,204.05,0.00,0.98,203.07,43.39,159.68,78.63%,0.00
17/04/2026,99.10,0.00,0.00,99.10,21.68,77.42,78.12%,0.00
16/04/2026,74.80,0.00,0.68,74.12,16.65,57.47,77.54%,0.00
15/04/2026,132.25,0.00,0.00,132.25,31.81,100.44,75.95%,0.00
14/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
13/04/2026,65.70,0.00,0.00,65.70,10.01,55.69,84.76%,0.00
12/04/2026,7.80,0.00,0.00,7.80,2.03,5.77,73.97%,0.00
11/04/2026,202.05,0.00,0.00,202.05,47.22,154.83,76.63%,0.00
10/04/2026,99.70,0.00,0.00,99.70,22.92,76.78,77.01%,0.00
09/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
08/04/2026,75.70,0.00,0.00,75.70,19.02,56.68,74.87%,0.00
07/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
06/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
05/04/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
04/04/2026,249.10,0.00,0.00,249.10,53.35,195.75,78.58%,0.00
03/04/2026,83.20,0.00,0.00,83.20,4.60,78.60,94.47%,0.00
02/04/2026,131.70,0.00,4.00,127.70,23.78,103.92,81.38%,0.00
01/04/2026,219.40,0.00,3.00,216.40,47.29,169.11,78.15%,0.00
31/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
30/03/2026,106.70,0.00,1.13,105.57,22.56,83.01,78.63%,0.00
29/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
28/03/2026,192.35,0.00,7.36,184.99,41.90,143.09,77.35%,0.00
27/03/2026,91.25,0.00,0.00,91.25,17.26,73.99,81.08%,0.00
26/03/2026,85.80,0.00,0.00,85.80,16.25,69.55,81.06%,0.00
25/03/2026,75.30,0.00,3.00,72.30,16.27,56.03,77.50%,0.00
24/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
23/03/2026,105.55,0.00,0.00,105.55,23.58,81.97,77.66%,0.00
22/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
21/03/2026,214.90,0.00,0.00,214.90,28.50,186.40,86.74%,0.00
20/03/2026,100.10,0.00,0.00,100.10,20.00,80.10,80.02%,0.00
19/03/2026,128.10,0.00,0.00,128.10,8.00,120.10,93.75%,0.00
18/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
17/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
16/03/2026,150.20,0.00,3.00,147.20,26.00,121.20,82.34%,0.00
15/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
14/03/2026,151.60,0.00,0.00,151.60,32.00,119.60,78.89%,0.00
13/03/2026,143.60,0.00,0.00,143.60,18.50,125.10,87.12%,0.00
12/03/2026,64.20,0.00,0.00,64.20,6.50,57.70,89.88%,0.00
11/03/2026,88.60,0.00,0.00,88.60,14.00,74.60,84.20%,0.00
10/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
09/03/2026,100.30,0.00,0.00,100.30,19.50,80.80,80.56%,0.00
08/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
07/03/2026,236.20,0.00,0.00,236.20,57.50,178.70,75.66%,0.00
06/03/2026,89.20,0.00,0.00,89.20,3.00,86.20,96.64%,0.00
05/03/2026,100.50,0.00,0.00,100.50,13.00,87.50,87.06%,0.00
